OutputType_Clean,days_since_publication,cited_by_count
Journal Article Publication,1603,3.0
Journal Article Publication,4911,3.0
Other Publication,6304,3.0
Book,2348,3.0
Book,3875,3.0
Journal Article Publication,376,3.0
Journal Article Publication,602,3.0
Journal Article Publication,547,3.0
Journal Article Publication,450,3.0
Journal Article Publication,878,3.0
Journal Article Publication,859,3.0
Journal Article Publication,827,3.0
Journal Article Publication,491,3.0
Working Paper,1009,3.0
Journal Article Publication,872,3.0
Journal Article Publication,3262,3.0
Journal Article Publication,739,3.0
Journal Article Publication,2693,2.5
Book,2001,2.0
Journal Article Publication,1750,2.0
Journal Article Publication,190,2.0
Journal Article Publication,249,2.0
Journal Article Publication,1082,2.0
Journal Article Publication,967,2.0
Journal Article Publication,5425,2.0
Journal Article Publication,1196,2.0
Journal Article Publication,1433,2.0
Journal Article Publication,5234,2.0
Working Paper,4174,2.0
Journal Article Publication,2463,2.0
Journal Article Publication,826,2.0
Journal Article Publication,832,2.0
Journal Article Publication,735,2.0
Journal Article Publication,813,2.0
Journal Article Publication,783,2.0
Journal Article Publication,478,2.0
Journal Article Publication,2420,2.0
Journal Article Publication,2399,2.0
Working Paper,1026,2.0
Other Publication,1754,2.0
Working Paper,644,2.0
Journal Article Publication,3905,2.0
Other Publication,2146,2.0
Other Publication,5475,2.0
Journal Article Publication,2258,2.0
Working Paper,431,2.0
Journal Article Publication,336,2.0
Other Publication,2262,2.0
Journal Article Publication,379,2.0
Journal Article Publication,350,2.0
Graduate Research Output,3778,2.0
Book,1586,1.5
Journal Article Publication,279,1.0
Graduate Research Output,4302,1.0
Journal Article Publication,330,1.0
Journal Article Publication,2435,1.0
Journal Article Publication,461,1.0
Other Publication,3021,1.0
Working Paper,491,1.0
Journal Article Publication,477,1.0
Journal Article Publication,3444,1.0
Working Paper,939,1.0
Journal Article Publication,526,1.0
Journal Article Publication,2157,1.0
Journal Article Publication,616,1.0
Journal Article Publication,408,1.0
Working Paper,490,1.0
Journal Article Publication,3442,1.0
Journal Article Publication,3890,1.0
Journal Article Publication,801,1.0
Journal Article Publication,693,1.0
Journal Article Publication,7371,1.0
Journal Article Publication,3200,1.0
Journal Article Publication,2307,1.0
Journal Article Publication,2325,1.0
Journal Article Publication,200,1.0
Journal Article Publication,1670,1.0
Journal Article Publication,235,1.0
Journal Article Publication,905,1.0
Journal Article Publication,957,1.0
Journal Article Publication,1171,1.0
Journal Article Publication,1685,1.0
Journal Article Publication,2913,1.0
Working Paper,2860,1.0
Book,602,1.0
Journal Article Publication,2751,1.0
Journal Article Publication,1050,1.0
Journal Article Publication,1425,1.0
Journal Article Publication,4827,1.0
Journal Article Publication,247,1.0
Journal Article Publication,1989,1.0
Journal Article Publication,3839,1.0
Journal Article Publication,1019,1.0
Journal Article Publication,4363,1.0
Journal Article Publication,181,1.0
Dataset,1221,0.75
Journal Article Publication,125,0.3333333333333333
Dataset,856,0.25
Journal Article Publication,386,0.0
Journal Article Publication,384,0.0
Journal Article Publication,2398,0.0
Journal Article Publication,364,0.0
Dataset,3175,0.0
Dataset,3047,0.0
Dataset,1952,0.0
Dataset,1586,0.0
Journal Article Publication,487,0.0
Journal Article Publication,484,0.0
Journal Article Publication,480,0.0
Journal Article Publication,448,0.0
Journal Article Publication,412,0.0
Journal Article Publication,419,0.0
Journal Article Publication,396,0.0
Journal Article Publication,403,0.0
Journal Article Publication,640,0.0
Journal Article Publication,545,0.0
Journal Article Publication,454,0.0
Working Paper,339,0.0
Working Paper,156,0.0
Other Publication,837,0.0
Working Paper,484,0.0
Journal Article Publication,2440,0.0
Working Paper,278,0.0
Journal Article Publication,470,0.0
Journal Article Publication,460,0.0
Dataset,3778,0.0
Graduate Research Output,644,0.0
Journal Article Publication,250,0.0
Journal Article Publication,278,0.0
Dataset,3354,0.0
Journal Article Publication,305,0.0
Journal Article Publication,323,0.0
Journal Article Publication,344,0.0
Journal Article Publication,348,0.0
Journal Article Publication,1875,0.0
Journal Article Publication,728,0.0
Journal Article Publication,846,0.0
Journal Article Publication,724,0.0
Journal Article Publication,2639,0.0
Journal Article Publication,179,0.0
Journal Article Publication,1716,0.0
Journal Article Publication,998,0.0
Journal Article Publication,4569,0.0
Journal Article Publication,130,0.0
Journal Article Publication,136,0.0
Journal Article Publication,148,0.0
Journal Article Publication,54,0.0
Journal Article Publication,79,0.0
Journal Article Publication,117,0.0
Journal Article Publication,840,0.0
Journal Article Publication,2416,0.0
Working Paper,1251,0.0
Journal Article Publication,2310,0.0
Journal Article Publication,207,0.0
Journal Article Publication,1466,0.0
Journal Article Publication,1461,0.0
Journal Article Publication,5311,0.0
Journal Article Publication,964,0.0
Journal Article Publication,1180,0.0
Journal Article Publication,195,0.0
Working Paper,2197,0.0
Journal Article Publication,1125,0.0
Journal Article Publication,2596,0.0
Journal Article Publication,1288,0.0
Journal Article Publication,1275,0.0
Graduate Research Output,1374,0.0
Graduate Research Output,3292,0.0
Graduate Research Output,2317,0.0
Book,2090,0.0
Book,1891,0.0
