OutputType_Clean,days_since_publication,cited_by_count
Working Paper,3535,152.5
Journal Article Publication,7399,152.0
Journal Article Publication,8679,151.5
Journal Article Publication,7918,151.0
Journal Article Publication,6618,149.0
Journal Article Publication,5484,148.0
Journal Article Publication,10232,148.0
Journal Article Publication,3737,147.0
Journal Article Publication,8130,147.0
Journal Article Publication,4142,147.0
Journal Article Publication,4604,147.0
Working Paper,3108,147.0
Journal Article Publication,8253,146.0
Working Paper,7705,143.0
Working Paper,6700,143.0
Journal Article Publication,4517,143.0
Journal Article Publication,4984,141.0
Journal Article Publication,10293,141.0
Book,5969,139.66666666666666
Journal Article Publication,2344,139.0
Journal Article Publication,6146,138.0
Journal Article Publication,3678,138.0
Journal Article Publication,3841,137.0
Journal Article Publication,10171,136.33333333333334
Journal Article Publication,11813,135.0
Journal Article Publication,7430,135.0
Working Paper,7249,135.0
Journal Article Publication,2423,134.0
Working Paper,1831,134.0
Journal Article Publication,13274,133.0
Journal Article Publication,11570,133.0
Book,5604,132.75
Journal Article Publication,3018,132.0
Other Publication,5604,132.0
Working Paper,4996,131.0
Journal Article Publication,2938,130.0
Working Paper,2105,130.0
Journal Article Publication,3351,129.0
Journal Article Publication,9136,129.0
Journal Article Publication,2500,128.0
Working Paper,3900,127.33333333333333
Journal Article Publication,4045,127.0
Journal Article Publication,3022,127.0
Journal Article Publication,8648,126.0
Journal Article Publication,3510,124.0
Journal Article Publication,3178,123.0
Journal Article Publication,2770,122.0
Journal Article Publication,2710,121.0
Journal Article Publication,4023,120.4
Working Paper,6061,118.75
Journal Article Publication,5676,117.0
Journal Article Publication,3445,117.0
Journal Article Publication,2993,117.0
Journal Article Publication,1699,116.0
Journal Article Publication,1789,115.0
Journal Article Publication,4024,113.0
Working Paper,1647,112.5
Journal Article Publication,4689,112.0
Journal Article Publication,10749,112.0
Journal Article Publication,3301,112.0
Journal Article Publication,2197,110.4
Journal Article Publication,3662,110.0
Journal Article Publication,1555,108.5
Working Paper,4296,107.0
Journal Article Publication,3982,107.0
Journal Article Publication,3900,106.0
Journal Article Publication,1254,106.0
Other Publication,6963,105.0
Journal Article Publication,2106,104.0
Journal Article Publication,5487,104.0
Journal Article Publication,2079,104.0
Journal Article Publication,4282,104.0
Journal Article Publication,9044,104.0
Journal Article Publication,2713,102.0
Journal Article Publication,3182,101.0
Book,8526,101.0
Journal Article Publication,2651,99.33333333333333
Journal Article Publication,6208,98.0
Journal Article Publication,6700,97.27272727272727
Journal Article Publication,3877,97.0
Journal Article Publication,3438,97.0
Journal Article Publication,3382,97.0
Journal Article Publication,9257,97.0
Journal Article Publication,6669,97.0
Working Paper,4357,97.0
Journal Article Publication,2479,97.0
Journal Article Publication,2752,96.0
Journal Article Publication,2373,96.0
Journal Article Publication,2973,96.0
Journal Article Publication,4327,94.0
Other Publication,8009,94.0
Journal Article Publication,6482,93.0
Journal Article Publication,2047,93.0
Journal Article Publication,8375,92.0
Journal Article Publication,7583,92.0
Journal Article Publication,3584,91.5
Journal Article Publication,1559,90.0
Journal Article Publication,1938,89.0
Journal Article Publication,3658,89.0
Journal Article Publication,9897,88.0
Journal Article Publication,4926,88.0
Journal Article Publication,8041,87.5
Journal Article Publication,1209,87.0
Working Paper,5545,87.0
Working Paper,6519,87.0
Journal Article Publication,2380,86.0
Journal Article Publication,4257,86.0
Journal Article Publication,4080,85.0
Journal Article Publication,3505,85.0
Journal Article Publication,6122,83.0
Journal Article Publication,8467,83.0
Journal Article Publication,3980,82.5
Journal Article Publication,5923,82.0
Journal Article Publication,6375,81.0
Journal Article Publication,5489,81.0
Journal Article Publication,4053,81.0
Journal Article Publication,11024,81.0
Journal Article Publication,2298,81.0
Journal Article Publication,2545,80.0
Journal Article Publication,7614,80.0
Journal Article Publication,10536,79.0
Journal Article Publication,3738,79.0
Journal Article Publication,3418,79.0
Journal Article Publication,1667,79.0
Journal Article Publication,7515,78.0
Journal Article Publication,4252,77.0
Journal Article Publication,3434,77.0
Journal Article Publication,3549,77.0
Journal Article Publication,3984,77.0
Other Publication,9226,77.0
Working Paper,3139,77.0
Journal Article Publication,1009,76.0
Journal Article Publication,7315,75.0
Journal Article Publication,1589,75.0
Journal Article Publication,2092,75.0
Journal Article Publication,2592,74.6
Journal Article Publication,5060,74.0
Journal Article Publication,2734,74.0
Journal Article Publication,4661,73.66666666666667
Journal Article Publication,3245,73.0
Journal Article Publication,5647,73.0
Working Paper,5879,73.0
Journal Article Publication,6789,71.0
Journal Article Publication,4301,71.0
Journal Article Publication,5840,71.0
Journal Article Publication,1602,71.0
Journal Article Publication,2348,71.0
Journal Article Publication,1322,70.0
Journal Article Publication,4722,69.33333333333333
Journal Article Publication,848,69.0
Journal Article Publication,3185,69.0
Journal Article Publication,3005,69.0
Journal Article Publication,2682,68.11764705882354
Journal Article Publication,5510,68.0
Working Paper,2136,67.33333333333333
Journal Article Publication,10718,67.0
Working Paper,5331,66.0
Working Paper,3231,66.0
Journal Article Publication,4181,65.0
Working Paper,2470,65.0
Journal Article Publication,1992,65.0
Journal Article Publication,3131,64.0
Working Paper,2682,64.0
Journal Article Publication,5939,64.0
Journal Article Publication,3112,64.0
Working Paper,5088,63.0
Journal Article Publication,710,63.0
Working Paper,2562,63.0
Journal Article Publication,698,63.0
Journal Article Publication,4521,63.0
Journal Article Publication,4843,62.5
Journal Article Publication,1831,62.0
Journal Article Publication,2731,62.0
Journal Article Publication,7065,61.666666666666664
Working Paper,4143,61.0
Journal Article Publication,3569,61.0
Journal Article Publication,2860,61.0
Journal Article Publication,3530,61.0
Journal Article Publication,2131,60.0
Journal Article Publication,1820,60.0
Working Paper,6610,60.0
Working Paper,4204,60.0
Journal Article Publication,3952,60.0
Journal Article Publication,666,59.0
Journal Article Publication,3848,59.0
Journal Article Publication,5119,58.5
Journal Article Publication,4185,58.0
Journal Article Publication,3949,57.0
Journal Article Publication,6717,57.0
Book,6620,57.0
Journal Article Publication,3423,57.0
Journal Article Publication,3337,57.0
Journal Article Publication,5788,56.5
Journal Article Publication,3645,56.0
Working Paper,3322,55.0
Working Paper,1708,54.5
Journal Article Publication,1744,54.0
Journal Article Publication,2186,54.0
Working Paper,1952,53.166666666666664
Journal Article Publication,4449,53.0
Journal Article Publication,4326,53.0
Journal Article Publication,4026,53.0
Journal Article Publication,5338,53.0
Journal Article Publication,5026,52.5
Journal Article Publication,7644,52.0
Journal Article Publication,3617,52.0
Journal Article Publication,2971,52.0
Journal Article Publication,4718,51.5
Working Paper,2439,51.0
Journal Article Publication,1861,51.0
Journal Article Publication,2233,51.0
Journal Article Publication,3292,50.0
Journal Article Publication,7305,50.0
Journal Article Publication,3024,50.0
Working Paper,4783,50.0
Journal Article Publication,4898,49.0
Journal Article Publication,4084,49.0
Journal Article Publication,3730,49.0
Journal Article Publication,2409,49.0
Journal Article Publication,6945,49.0
Journal Article Publication,2910,49.0
Working Paper,1983,48.5
Working Paper,2501,48.5
Journal Article Publication,3283,48.0
Working Paper,1617,48.0
Journal Article Publication,2568,47.333333333333336
Book,3355,47.0
Journal Article Publication,8161,46.4
Working Paper,1770,46.0
Journal Article Publication,4106,46.0
Journal Article Publication,3726,46.0
Journal Article Publication,6469,46.0
Journal Article Publication,5314,46.0
Working Paper,8375,45.5
Journal Article Publication,2694,45.5
Journal Article Publication,1646,45.0
Journal Article Publication,2192,45.0
Journal Article Publication,5211,45.0
Journal Article Publication,2867,45.0
Journal Article Publication,7845,44.0
Journal Article Publication,5373,44.0
Working Paper,9410,44.0
Other Publication,4874,44.0
Journal Article Publication,3233,43.0
Journal Article Publication,4029,42.0
Journal Article Publication,7249,42.0
Journal Article Publication,5270,42.0
Journal Article Publication,3452,42.0
Journal Article Publication,5535,41.0
Journal Article Publication,2505,41.0
Journal Article Publication,1735,41.0
Journal Article Publication,5620,41.0
Journal Article Publication,2121,41.0
Journal Article Publication,3521,41.0
Working Paper,1861,40.5
Journal Article Publication,7797,40.0
Journal Article Publication,2876,40.0
Journal Article Publication,4816,40.0
Journal Article Publication,4174,40.0
Working Paper,856,40.0
Journal Article Publication,5969,39.291666666666664
Journal Article Publication,2695,39.0
Journal Article Publication,2364,39.0
Journal Article Publication,4759,39.0
Journal Article Publication,3140,38.0
Journal Article Publication,2668,38.0
Journal Article Publication,4025,38.0
Journal Article Publication,2603,38.0
Journal Article Publication,993,38.0
Working Paper,5514,37.5
Journal Article Publication,5239,37.5
Journal Article Publication,4109,37.0
Journal Article Publication,5858,37.0
Journal Article Publication,4432,37.0
Journal Article Publication,476,37.0
Journal Article Publication,7796,36.666666666666664
Working Paper,3413,36.0
Journal Article Publication,2843,36.0
Journal Article Publication,2982,36.0
Journal Article Publication,3721,36.0
Journal Article Publication,2432,36.0
Journal Article Publication,3256,36.0
Journal Article Publication,3276,36.0
Journal Article Publication,2743,35.666666666666664
Journal Article Publication,5235,35.5
Journal Article Publication,2879,35.0
Journal Article Publication,2328,35.0
Journal Article Publication,9714,34.0
Working Paper,4905,34.0
Other Publication,3200,34.0
Journal Article Publication,4368,34.0
Journal Article Publication,2034,34.0
Journal Article Publication,2623,33.5
Journal Article Publication,3688,33.333333333333336
Journal Article Publication,2959,33.0
Working Paper,2623,33.0
Journal Article Publication,1383,33.0
Journal Article Publication,2471,33.0
Journal Article Publication,9744,33.0
Journal Article Publication,4357,33.0
Journal Article Publication,2590,32.666666666666664
Journal Article Publication,2574,32.0
Journal Article Publication,1353,32.0
Journal Article Publication,2266,32.0
Working Paper,5726,32.0
Journal Article Publication,3009,32.0
Journal Article Publication,3028,32.0
Journal Article Publication,1296,31.0
Working Paper,3261,31.0
Working Paper,1159,31.0
Journal Article Publication,1933,31.0
Working Paper,1466,30.0
Journal Article Publication,9683,30.0
Journal Article Publication,3241,30.0
Journal Article Publication,1488,30.0
Working Paper,6945,30.0
Journal Article Publication,4663,30.0
Journal Article Publication,4477,29.5
Working Paper,7279,29.0
Journal Article Publication,1683,29.0
Working Paper,1800,28.5
Journal Article Publication,3336,28.0
Journal Article Publication,3144,28.0
Journal Article Publication,4584,28.0
Journal Article Publication,2120,28.0
Journal Article Publication,2185,28.0
Journal Article Publication,2401,28.0
Working Paper,1131,28.0
Journal Article Publication,4498,28.0
Journal Article Publication,6142,28.0
Journal Article Publication,2735,28.0
Journal Article Publication,820,27.0
Journal Article Publication,928,27.0
Journal Article Publication,1684,27.0
Journal Article Publication,5392,27.0
Journal Article Publication,1378,27.0
Journal Article Publication,6039,27.0
Journal Article Publication,3243,27.0
Journal Article Publication,4239,26.0
Journal Article Publication,4275,26.0
Journal Article Publication,2076,26.0
Journal Article Publication,7218,26.0
Journal Article Publication,1617,26.0
Journal Article Publication,4658,26.0
Journal Article Publication,4538,26.0
Journal Article Publication,2531,25.5
Working Paper,6122,25.0
Journal Article Publication,2813,25.0
Journal Article Publication,2885,25.0
Journal Article Publication,5431,25.0
Journal Article Publication,3604,25.0
Journal Article Publication,2125,25.0
Journal Article Publication,4170,25.0
Working Paper,4265,25.0
Working Paper,6427,25.0
Journal Article Publication,1057,25.0
Journal Article Publication,4940,25.0
Working Paper,2378,25.0
Journal Article Publication,4858,25.0
Journal Article Publication,2925,24.666666666666668
Journal Article Publication,3108,24.5
Journal Article Publication,1742,24.5
Journal Article Publication,5604,24.454545454545453
Journal Article Publication,4227,24.0
Journal Article Publication,2408,24.0
Journal Article Publication,924,24.0
Journal Article Publication,3970,24.0
Journal Article Publication,3280,24.0
Journal Article Publication,5909,24.0
Working Paper,5453,24.0
Journal Article Publication,468,23.0
Working Paper,7796,23.0
Journal Article Publication,1554,23.0
Journal Article Publication,4388,23.0
Journal Article Publication,2615,23.0
Journal Article Publication,7522,23.0
Journal Article Publication,2402,23.0
Journal Article Publication,2744,23.0
Journal Article Publication,3800,22.666666666666668
Journal Article Publication,2835,22.333333333333332
Journal Article Publication,2528,22.0
Journal Article Publication,3113,22.0
Working Paper,3169,22.0
Working Paper,5604,22.0
Journal Article Publication,971,22.0
Journal Article Publication,6889,22.0
Working Paper,736,22.0
Working Paper,1374,22.0
Journal Article Publication,2896,21.0
Working Paper,6864,21.0
Journal Article Publication,1639,21.0
Journal Article Publication,5654,21.0
Journal Article Publication,1901,21.0
Journal Article Publication,4318,21.0
Working Paper,2166,21.0
Journal Article Publication,3047,20.933333333333334
Working Paper,5665,20.5
Working Paper,917,20.5
Journal Article Publication,3322,20.5
Book,6059,20.0
Journal Article Publication,2650,20.0
Journal Article Publication,2486,20.0
Journal Article Publication,3847,20.0
Journal Article Publication,1527,20.0
Journal Article Publication,3663,20.0
Journal Article Publication,1434,20.0
Journal Article Publication,1510,19.0
Working Paper,4843,19.0
Journal Article Publication,1078,19.0
Journal Article Publication,4463,19.0
Journal Article Publication,889,19.0
Journal Article Publication,3747,18.5
Journal Article Publication,1398,18.0
Journal Article Publication,1435,18.0
Journal Article Publication,2287,18.0
Journal Article Publication,2503,18.0
Other Publication,2562,18.0
Working Paper,1190,18.0
Journal Article Publication,6209,18.0
Journal Article Publication,4184,18.0
Journal Article Publication,1776,18.0
Working Paper,3566,18.0
Journal Article Publication,7532,18.0
Journal Article Publication,4814,17.666666666666668
Journal Article Publication,1198,17.5
Journal Article Publication,1649,17.0
Journal Article Publication,7573,17.0
Journal Article Publication,3474,17.0
Journal Article Publication,2262,17.0
Journal Article Publication,4389,17.0
Working Paper,3870,17.0
Journal Article Publication,1302,17.0
Journal Article Publication,1091,17.0
Journal Article Publication,6087,17.0
Working Paper,400,17.0
Journal Article Publication,1405,16.75
Working Paper,1221,16.5
Journal Article Publication,736,16.5
Journal Article Publication,2317,16.333333333333332
Journal Article Publication,2032,16.0
Journal Article Publication,2018,16.0
Journal Article Publication,2239,16.0
Journal Article Publication,2013,16.0
Journal Article Publication,4549,16.0
Journal Article Publication,1481,16.0
Journal Article Publication,2554,16.0
Journal Article Publication,4624,16.0
Journal Article Publication,1712,16.0
Journal Article Publication,2730,16.0
Working Paper,5696,16.0
Journal Article Publication,3681,16.0
Journal Article Publication,3450,16.0
Other Publication,7600,16.0
Dataset,8161,16.0
Journal Article Publication,3251,15.0
Journal Article Publication,1426,15.0
Journal Article Publication,3610,15.0
Journal Article Publication,644,15.0
Journal Article Publication,2405,15.0
Journal Article Publication,809,15.0
Journal Article Publication,2448,15.0
Journal Article Publication,3719,15.0
Working Paper,613,15.0
Working Paper,552,15.0
Journal Article Publication,1376,15.0
Journal Article Publication,5027,15.0
Journal Article Publication,1965,15.0
Journal Article Publication,4303,15.0
Journal Article Publication,4795,15.0
Journal Article Publication,4705,15.0
Working Paper,522,14.5
Journal Article Publication,1001,14.0
Journal Article Publication,2573,14.0
Journal Article Publication,3073,14.0
Journal Article Publication,4874,14.0
Journal Article Publication,3345,14.0
Journal Article Publication,2334,14.0
Journal Article Publication,4072,14.0
Journal Article Publication,3828,14.0
Book,8375,14.0
Journal Article Publication,3376,14.0
Journal Article Publication,2443,13.0
Other Publication,6731,13.0
Journal Article Publication,4653,13.0
Journal Article Publication,2815,13.0
Journal Article Publication,1317,13.0
Journal Article Publication,4562,13.0
Journal Article Publication,3078,13.0
Journal Article Publication,2275,13.0
Journal Article Publication,3988,13.0
Book,7949,12.5
Journal Article Publication,2277,12.5
Journal Article Publication,3778,12.18421052631579
Journal Article Publication,3413,12.151515151515152
Working Paper,2348,12.0
Journal Article Publication,3064,12.0
Journal Article Publication,7279,12.0
Journal Article Publication,2413,12.0
Journal Article Publication,673,12.0
Journal Article Publication,2062,12.0
Working Paper,583,12.0
Working Paper,1921,12.0
Working Paper,2258,12.0
Working Paper,2896,12.0
Journal Article Publication,5199,12.0
Journal Article Publication,4550,12.0
Journal Article Publication,1844,12.0
Journal Article Publication,930,12.0
Journal Article Publication,6306,11.0
Journal Article Publication,3967,11.0
Journal Article Publication,1519,11.0
Journal Article Publication,2139,11.0
Journal Article Publication,830,11.0
Journal Article Publication,1814,11.0
Journal Article Publication,6091,11.0
Journal Article Publication,2784,11.0
Journal Article Publication,2774,11.0
Journal Article Publication,3036,11.0
Journal Article Publication,4261,11.0
Journal Article Publication,1936,11.0
Journal Article Publication,2491,11.0
Journal Article Publication,4652,11.0
Journal Article Publication,2804,11.0
Journal Article Publication,1047,11.0
Journal Article Publication,1586,10.866666666666667
Working Paper,675,10.5
Journal Article Publication,953,10.5
Journal Article Publication,1188,10.5
Journal Article Publication,4143,10.28
Working Paper,4112,10.0
Journal Article Publication,722,10.0
Journal Article Publication,3272,10.0
Journal Article Publication,3792,10.0
Journal Article Publication,571,10.0
Journal Article Publication,643,10.0
Journal Article Publication,3564,10.0
Journal Article Publication,960,10.0
Journal Article Publication,875,10.0
Journal Article Publication,1443,10.0
Journal Article Publication,1676,10.0
Journal Article Publication,2776,10.0
Journal Article Publication,2957,10.0
Journal Article Publication,6183,10.0
Journal Article Publication,1310,10.0
Journal Article Publication,5411,10.0
Book,1221,10.0
Journal Article Publication,4508,9.655172413793103
Working Paper,2013,9.5
Journal Article Publication,3037,9.333333333333334
Working Paper,2988,9.0
Journal Article Publication,4323,9.0
Working Paper,2074,9.0
Journal Article Publication,1079,9.0
Journal Article Publication,1023,9.0
Journal Article Publication,1647,9.0
Journal Article Publication,5317,9.0
Journal Article Publication,2166,9.0
Journal Article Publication,754,9.0
Journal Article Publication,922,9.0
Journal Article Publication,704,9.0
Journal Article Publication,3960,9.0
Journal Article Publication,7126,9.0
Journal Article Publication,7006,9.0
Book,3962,9.0
Working Paper,8102,9.0
Other Publication,2625,9.0
Journal Article Publication,2342,9.0
Working Paper,797,9.0
Journal Article Publication,3780,9.0
Other Publication,707,9.0
Working Paper,7399,9.0
Journal Article Publication,9197,9.0
Journal Article Publication,3154,9.0
Working Paper,3078,9.0
Journal Article Publication,3133,9.0
Journal Article Publication,3356,8.5
Book,6335,8.0
Journal Article Publication,1390,8.0
Journal Article Publication,1070,8.0
Journal Article Publication,1341,8.0
Journal Article Publication,4537,8.0
Journal Article Publication,983,8.0
Journal Article Publication,901,8.0
Journal Article Publication,873,8.0
Journal Article Publication,2216,8.0
Journal Article Publication,804,8.0
Journal Article Publication,2278,8.0
Journal Article Publication,3576,8.0
Working Paper,1281,8.0
Journal Article Publication,2127,8.0
Dataset,9987,8.0
Journal Article Publication,2696,8.0
Working Paper,460,8.0
Book,5239,8.0
Journal Article Publication,1185,7.0
Journal Article Publication,4615,7.0
Journal Article Publication,3070,7.0
Journal Article Publication,5149,7.0
Journal Article Publication,9987,7.0
Journal Article Publication,3927,7.0
Journal Article Publication,1954,7.0
Other Publication,2227,7.0
Other Publication,2533,7.0
Book,3724,7.0
Other Publication,8007,7.0
Journal Article Publication,557,7.0
Journal Article Publication,937,7.0
Journal Article Publication,785,7.0
Journal Article Publication,2602,7.0
Journal Article Publication,3107,7.0
Journal Article Publication,5726,6.666666666666667
Journal Article Publication,887,6.5
Journal Article Publication,2877,6.0
Journal Article Publication,1441,6.0
